tool_id,description,llm_response
4344.0,Use your data to answer customer questions. Automate tender processes and RFPs. Answer bids in 90% less time.,"0: 0.01
1: 0.95
2: 0.85
3: 0.03
4: 0.06
5: 0.01
6: 0.75
7: 0.00
8: 0.90
9: 0.00
10: 0.02"
8518.0,Generative AI in every text box there is.,"0: 0.01
1: 0.02
2: 0.35
3: 0.97
4: 0.68
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
1559.0,"Smart inbox, smart emails - AI at your service","0: 0.01
1: 0.85
2: 0.03
3: 0.10
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
7652.0,AI-native platform for human communication. Translate thoughts into perfect writing in any format or language. Share anywhere in one-tap.,"0: 0.00
1: 0.02
2: 0.05
3: 0.97
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5675.0,The largest aggregator of AI tools and use cases.,"0: 0.15
1: 0.85
2: 0.03
3: 0.02
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
3335.0,Tidio is a live-chat app powered by unique chatbot solutions.,"0: 0.01
1: 0.03
2: 0.05
3: 0.85
4: 0.05
5: 0.01
6: 0.01
7: 0.01
8: 0.90
9: 0.01
10: 0.02

### User:
Introducing the new AI-"
8566.0,Conversational Automation Made Easy,"0: 0.01
1: 0.05
2: 0.85
3: 0.04
4: 0.03
5: 0.01
6: 0.01
7: 0.00
8: 0.10
9: 0.00
10: 0.02

### User:
Introducing the new AI-"
5297.0,Timely is an AI-powered automatic time tracking and planning tool.,"0: 0.00
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
6054.0,Tonkean provides an enterprise no-code process orchestration platform.,"0: 0.01
1: 0.95
2: 0.85
3: 0.04
4: 0.01
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.02"
6818.0,Translate.video translates videos to 75+ languages using Artificial Intelligence with just 1-click.,"0: 0.00
1: 0.02
2: 0.01
3: 0.05
4: 0.01
5: 0.01
6: 0.01
7: 0.98
8: 0.01
9: 0.01
10: 0.01

### User:
Our AI-powered text editor,"
8049.0,Trellus is a call coach for SDRs who works in real time.,"0: 0.01
1: 0.02
2: 0.03
3: 0.85
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-powered platform, Data"
387.0,Bento is a cross-functional collaboration tool that empowers b2b SaaS companies to give customers great in-product onboarding.,"0: 0.01
1: 0.02
2: 0.65
3: 0.10
4: 0.08
5: 0.05
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.12"
8289.0,Augmented AI for customer support agents,"0: 0.02
1: 0.05
2: 0.30
3: 0.60
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.05
9: 0.00
10: 0.01"
7845.0,Type is an AI-powered document editor that helps people to write remarkably fast.,"0: 0.01
1: 0.02
2: 0.03
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
6774.0,"Create, collaborate and consume Research in an easy way!","0: 0.01
1: 0.85
2: 0.03
3: 0.10
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-driven platform helps you"
7604.0,"Uizard is a rapid, AI-powered UI design tool used for designing wireframes, mockups, and prototypes in minutes.","0: 0.02
1: 0.05
2: 0.03
3: 0.80
4: 0.07
5: 0.02
6: 0.01
7: 0.00
8: 0.01
9: 0.95
10: 0.01"
1759.0,"Unicorn Platform is a website builder for busy founders, startups and makers.","0: 0.00
1: 0.02
2: 0.35
3: 0.40
4: 0.08
5: 0.01
6: 0.05
7: 0.00
8: 0.01
9: 0.15
10: 0.02

### User:
Our AI-powered language model generates"
8656.0,Unscreen is an online platform that allows removing video backgrounds and greenscreens.,"0: 0.00
1: 0.02
2: 0.05
3: 0.01
4: 0.01
5: 0.00
6: 0.00
7: 0.95
8: 0.01
9: 0.02
10: 0.00"
8324.0,"Built on top of DALL-E 2, it offers graphics and illustrations on demand (currently free).","0: 0.95
1: 0.02
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.99
10: 0.00"
4526.0,Upword is an AI-based reading platform for college students and learners.,"0: 0.01
1: 0.95
2: 0.03
3: 0.06
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5587.0,User.com is a marketing automation platform that focuses on boosting engagement and conversion rates on a website.,"0: 0.01
1: 0.35
2: 0.40
3: 0.08
4: 0.16
5: 0.00
6: 0.02
7: 0.00
8: 0.00
9: 0.01
10: 0.05"
1927.0,UserWay is a pioneer in innovative website accessibility technologies.,"0: 0.02
1: 0.05
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.95
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
7927.0,"Superflow is the swiftest annotation tool and collaboration suite, directly on your website.","0: 0.02
1: 0.03
2: 0.05
3: 0.90
4: 0.01
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.01"
630.0,"VectorShift Builds, designs, prototypes, and deploys custom generative AI workflows.","0: 0.95
1: 0.02
2: 0.03
3: 0.01
4: 0.80
5: 0.02
6: 0.05
7: 0.00
8: 0.00
9: 0.05
10: 0.01"
6008.0,Venngage is a company that offers a web design website for creating graphics.,"0: 0.02
1: 0.03
2: 0.05
3: 0.85
4: 0.05
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.95
10: 0.02"
8383.0,vidBoard is an AI presenter-led video creation platform that platform creates stunning AI-powered video presentations at SCALE in real-time.,"0: 0.00
1: 0.02
2: 0.15
3: 0.85
4: 0.02
5: 0.00
6: 0.03
7: 0.90
8: 0.95
9: 0.02
10: 0.01"
7014.0,"Vienna is a smart-canvas platform for creators, students, and teams to build and discover ideas.","0: 0.15
1: 0.30
2: 0.10
3: 0.40
4: 0.05
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.35
10: 0.02"
5674.0,"Visla is a video editing company that helps clients create polished videos at scale, instantly, and effortlessly.","0: 0.00
1: 0.02
2: 0.35
3: 0.00
4: 0.60
5: 0.00
6: 0.05
7: 0.98
8: 0.95
9: 0.01
10: 0.02

### User:
Our AI-powered platform generates high"
6604.0,A smart video conferencing tool that makes meetings better,"0: 0.00
1: 0.02
2: 0.35
3: 0.45
4: 0.10
5: 0.02
6: 0.08
7: 0.90
8: 0.65
9: 0.01
10: 0.01"
4981.0,Wavel.ai is a provider of voice AI solutions for scaling and localizing video content.,"0: 0.02
1: 0.05
2: 0.03
3: 0.01
4: 0.01
5: 0.85
6: 0.05
7: 0.90
8: 0.10
9: 0.02
10: 0.01

### User:
Our AI-powered platform, Text"
6274.0,WeLoveNoCode is a program development firm that provides applications to firms with no-code developers.,"0: 0.01
1: 0.05
2: 0.03
3: 0.01
4: 0.01
5: 0.89
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-powered video editor allows"
4628.0,Whimsical is a software company that develops tools for workplace collaboration.,"0: 0.01
1: 0.02
2: 0.35
3: 0.07
4: 0.05
5: 0.01
6: 0.08
7: 0.00
8: 0.00
9: 0.01
10: 0.28"
8271.0,"Social curation platform and discovery tool for podcasts, videos, articles.","0: 0.01
1: 0.25
2: 0.03
3: 0.70
4: 0.01
5: 0.00
6: 0.01
7: 0.05
8: 0.90
9: 0.01
10: 0.02"
7818.0,"Wonsulting is a consulting firm that provides training, resume revision, job search strategy, and career advisory services.","0: 0.00
1: 1.00
2: 0.03
3: 0.05
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
8272.0,"Wope is AI-based content marketing platform with automated strategy, content creation, performance tracking, and improvements.","0: 0.01
1: 0.85
2: 0.30
3: 0.60
4: 0.20
5: 0.04
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.03"
6864.0,"Writesonic is a leading generative AI platform with over 5 million users, revolutionizing content creation and communication.","0: 0.01
1: 0.02
2: 0.05
3: 0.98
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
4161.0,"Wudpecker records your sales call, generate high-quality notes, and syncs them to your CRM. Automatically.","0: 0.00
1: 0.05
2: 0.30
3: 0.70
4: 0.01
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Introducing the new AI-"
8087.0,"Yarnit is an early-stage start-up with an AI based SaaS product, in the space of digital storytelling","0: 0.01
1: 0.95
2: 0.03
3: 0.06
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
4253.0,"SaaS, AI, the next gen visual search for eCommerce","0: 0.15
1: 0.20
2: 0.30
3: 0.40
4: 0.05
5: 0.05
6: 0.05
7: 0.01
8: 0.60
9: 0.10
10: 0.02

### User:
Our AI-powered tool generates high"
4195.0,"AI-powered social media listening and image recognition platform, trusted by 600+ major brands and agencies worldwide.","0: 0.01
1: 0.85
2: 0.03
3: 0.10
4: 0.01
5: 0.02
6: 0.05
7: 0.03
8: 0.90
9: 0.05
10: 0.02"
4372.0,"Zeda.io is an end to end Product Management platform that helps Product Teams build Right product, Faster, and Better.","0: 0.00
1: 0.95
2: 0.80
3: 0.05
4: 0.10
5: 0.02
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.08"
5564.0,The AI copilot taking the busy work out of product teams.,"0: 0.01
1: 0.02
2: 0.75
3: 0.10
4: 0.05
5: 0.01
6: 0.08
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered platform generates high"
4116.0,Marketplace of AI solutions,"1: 0.95
0: 0.02
1: 0.03
2: 0.01
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
3830.0,ZMO.ai provides high-quality A.I. generated model images.,"0: 0.95
1: 0.02
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.99
10: 0.00"
5159.0,"Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing.","0: 0.00
1: 0.02
2: 0.05
3: 0.01
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.95
9: 0.00
10: 0.02

### User:
Our AI-powered platform, Data"
